Arup





File WBBn_base_v48_traffic (Node effects)_solved.gwb
Exported 03/02/2021 16:32:32

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Reactions
"Reactions due to restraints, spring supports, applied displacements and grounded springs"
Output axes:  global
"Node list:  ""bearings bottom"""

START_TABLE Reactions
,,[kN],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm]
Node,Case,Fx,Fy,Fz,|F|,Mxx,Myy,Mzz,|M|
30098,C1435,-35.15E-9,-759.3E-6,2289.,2289.,0.0,0.0,0.0,0.0
30098,C1436,-16.21E-9,522.5E-6,6037.,6037.,0.0,0.0,0.0,0.0
30098,C1437,325.5E-9,-864.3E-6,1796.,1796.,0.0,0.0,0.0,0.0
30098,C1438,296.5E-9,517.4E-6,6652.,6652.,0.0,0.0,0.0,0.0
30098,C1439,21.29E-9,769.3E-6,2630.,2630.,0.0,0.0,0.0,0.0
30098,C1440,44.65E-9,-679.9E-6,5053.,5053.,0.0,0.0,0.0,0.0
30098,C1441,-151.7E-9,783.1E-6,2070.,2070.,0.0,0.0,0.0,0.0
30098,C1442,-79.88E-9,-541.1E-6,4943.,4943.,0.0,0.0,0.0,0.0
30098,C1443,-284.3E-9,886.2E-6,1408.,1408.,0.0,0.0,0.0,0.0
30098,C1444,293.4E-9,-527.3E-6,5002.,5002.,0.0,0.0,0.0,0.0
30098,C1445,381.1E-9,406.8E-6,3940.,3940.,0.0,0.0,0.0,0.0
30098,C1446,122.6E-9,10.69E-6,4283.,4283.,0.0,0.0,0.0,0.0
30098,C1447,323.1E-9,397.3E-6,1529.,1529.,0.0,0.0,0.0,0.0
30098,C1448,336.1E-9,28.66E-6,6517.,6517.,0.0,0.0,0.0,0.0
30098,C1449,-966.0E-9,5.028E-6,6130.,6130.,0.0,0.0,0.0,0.0
30098,C1450,819.4E-9,-26.83E-6,2943.,2943.,0.0,0.0,0.0,0.0
30098,C1451,-1.401E-6,78.04E-6,5869.,5869.,0.0,0.0,0.0,0.0
30098,C1452,909.9E-9,-329.1E-6,1893.,1893.,0.0,0.0,0.0,0.0
30098,C1453,-545.1E-9,-683.6E-6,7272.,7272.,0.0,0.0,0.0,0.0
30098,C1454,-158.3E-9,672.2E-6,1649.,1649.,0.0,0.0,0.0,0.0
30098,C1455,-89.13E-9,-38.38E-6,7816.,7816.,0.0,0.0,0.0,0.0
30098,C1456,-412.8E-9,524.3E-6,4878.,4878.,0.0,0.0,0.0,0.0
30098,C1457,621.4E-9,-380.3E-6,1990.,1990.,0.0,0.0,0.0,0.0
30098,C1458,-27.44E-9,127.4E-6,4605.,4605.,0.0,0.0,0.0,0.0
30098,C1459,-317.3E-9,-110.9E-6,3105.,3105.,0.0,0.0,0.0,0.0
30098,C1460,-983.7E-9,-540.7E-6,7948.,7948.,0.0,0.0,0.0,0.0
30098,C1461,143.1E-9,392.3E-6,2167.,2167.,0.0,0.0,0.0,0.0
30098,C1462,26.95E-9,88.13E-6,6038.,6038.,0.0,0.0,0.0,0.0
30098,C1463,265.1E-9,-139.0E-6,1472.,1472.,0.0,0.0,0.0,0.0
30098,C1464,-287.5E-9,-357.6E-6,6736.,6736.,0.0,0.0,0.0,0.0
30098,C1465,2.220E-9,5.154E-6,18.56,18.56,0.0,0.0,0.0,0.0
30098,C1466,357.3E-9,6.748E-6,3538.,3538.,0.0,0.0,0.0,0.0
30098,C1467,-1.256E-6,391.7E-6,4772.,4772.,0.0,0.0,0.0,0.0
30098,C1468,566.2E-9,-501.7E-6,1976.,1976.,0.0,0.0,0.0,0.0
30098,C1469,295.3E-9,116.4E-6,1809.,1809.,0.0,0.0,0.0,0.0
30098,C1470,-225.2E-9,-153.1E-6,5225.,5225.,0.0,0.0,0.0,0.0
30098,C1471,-229.9E-9,-101.6E-6,8252.,8252.,0.0,0.0,0.0,0.0
30098,C1472,-21.91E-9,5.808E-6,406.7,406.7,0.0,0.0,0.0,0.0
30098,C1473,-630.9E-9,-405.4E-6,6743.,6743.,0.0,0.0,0.0,0.0
30098,C1474,580.7E-9,516.6E-6,2385.,2385.,0.0,0.0,0.0,0.0
30098,C1475,-113.4E-9,152.7E-6,1649.,1649.,0.0,0.0,0.0,0.0
30098,C1476,314.7E-9,-102.6E-6,4935.,4935.,0.0,0.0,0.0,0.0
30098,C1477,46.08E-9,666.9E-6,5750.,5750.,0.0,0.0,0.0,0.0
30098,C1478,-129.0E-9,-265.0E-6,973.3,973.3,0.0,0.0,0.0,0.0
30098,C1479,-215.0E-9,-700.4E-6,9556.,9556.,0.0,0.0,0.0,0.0
30098,C1480,10.37E-9,265.1E-6,-2.915,2.915,0.0,0.0,0.0,0.0
30098,C1481,164.6E-9,0.001500,2179.,2179.,0.0,0.0,0.0,0.0
30098,C1482,151.0E-9,-0.001502,7075.,7075.,0.0,0.0,0.0,0.0
30098,C1483,649.5E-9,358.7E-6,3186.,3186.,0.0,0.0,0.0,0.0
30098,C1484,-490.4E-9,-395.3E-6,6833.,6833.,0.0,0.0,0.0,0.0
30098,C1485,243.2E-9,-646.2E-6,4604.,4604.,0.0,0.0,0.0,0.0
30098,C1486,14.35E-9,151.3E-6,1278.,1278.,0.0,0.0,0.0,0.0
30098,C1487,234.6E-9,676.3E-6,4300.,4300.,0.0,0.0,0.0,0.0
30098,C1488,33.51E-9,-169.3E-6,459.3,459.3,0.0,0.0,0.0,0.0
30098,C1489,166.4E-9,-0.001502,7075.,7075.,0.0,0.0,0.0,0.0
30098,C1490,49.40E-9,0.001500,2179.,2179.,0.0,0.0,0.0,0.0
30098,C1491,-521.2E-9,-38.85E-6,7973.,7973.,0.0,0.0,0.0,0.0
30098,C1492,180.2E-9,-121.4E-6,3807.,3807.,0.0,0.0,0.0,0.0
30098,C1493,4.388E-9,-12.64E-6,784.3,784.3,0.0,0.0,0.0,0.0
31307,A1,0.0,0.0,1581.,1581.,0.0,0.0,0.0,0.0
31307,A2,0.0,0.0,6503.,6503.,0.0,0.0,0.0,0.0
31307,A3,0.0,0.0,1679.,1679.,0.0,0.0,0.0,0.0
31307,A4,0.0,0.0,7179.,7179.,0.0,0.0,0.0,0.0
