Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 23:31:46

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Reactions
"Reactions due to restraints, spring supports, applied displacements and grounded springs"
Output axes:  global
"Node list:  ""bearings bottom"""
Some of the combined results are from different analysis stages. The user should ensure that this combination is valid.

START_TABLE Reactions
,,[kN],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm]
Node,Case,Fx,Fy,Fz,|F|,Mxx,Myy,Mzz,|M|
17027,C165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17027,C166,0.0,0.0,-705.6,705.6,0.0,0.0,0.0,0.0
17027,C167,0.0,0.0,-747.3,747.3,0.0,0.0,0.0,0.0
17027,C168,0.0,0.0,-747.3,747.3,0.0,0.0,0.0,0.0
17027,C169,0.0,0.0,-3394.,3394.,0.0,0.0,0.0,0.0
17027,C170,0.0,0.0,-90.02,90.02,0.0,0.0,0.0,0.0
17027,C171,0.0,0.0,-42.17,42.17,0.0,0.0,0.0,0.0
17027,C172,0.0,0.0,-42.17,42.17,0.0,0.0,0.0,0.0
17027,C173,0.0,0.0,3255.,3255.,0.0,0.0,0.0,0.0
17027,C174,0.0,0.0,-199.9,199.9,0.0,0.0,0.0,0.0
17027,C175,0.0,0.0,-184.7,184.7,0.0,0.0,0.0,0.0
30098,A1,785.3E-9,3.882E-6,16960.,16960.,0.0,0.0,0.0,0.0
30098,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30098,A3,-140.9E-9,822.9E-9,4974.,4974.,0.0,0.0,0.0,0.0
30098,A4,-14.59E-9,378.4E-9,2655.,2655.,0.0,0.0,0.0,0.0
30098,A5,-98.21E-9,260.6E-9,1800.,1800.,0.0,0.0,0.0,0.0
30098,A6,30.27E-9,1.372E-6,633.0,633.0,0.0,0.0,0.0,0.0
30098,A7,9.555E-9,208.9E-9,876.3,876.3,0.0,0.0,0.0,0.0
30098,A8,27.69E-9,290.4E-9,1680.,1680.,0.0,0.0,0.0,0.0
30098,A9,-188.8E-9,669.6E-9,3901.,3901.,0.0,0.0,0.0,0.0
30098,A10,-41.92E-9,-35.95E-9,798.2,798.2,0.0,0.0,0.0,0.0
30098,A11,482.1E-9,1.014E-6,5977.,5977.,0.0,0.0,0.0,0.0
30098,A12,185.9E-9,816.4E-9,4746.,4746.,0.0,0.0,0.0,0.0
30098,A13,-25.08E-9,85.97E-9,510.1,510.1,0.0,0.0,0.0,0.0
30098,A14,-116.7E-9,284.0E-9,1115.,1115.,0.0,0.0,0.0,0.0
30098,A20,-236.0,11.48,-16.03,236.9,0.0,0.0,0.0,0.0
30098,A21,-157.7,7.671,-10.71,158.2,0.0,0.0,0.0,0.0
30098,A22,-2905.,141.3,-224.0,2917.,0.0,0.0,0.0,0.0
30098,A23,-1944.,94.56,-149.9,1952.,0.0,0.0,0.0,0.0
30098,A24,-1230.,59.82,-38.95,1232.,0.0,0.0,0.0,0.0
30098,A25,-825.3,40.15,-26.14,826.7,0.0,0.0,0.0,0.0
30098,A26,34.98E-9,-2393.,2448.,3423.,0.0,0.0,0.0,0.0
30098,A27,6.884E-9,2393.,-2448.,3423.,0.0,0.0,0.0,0.0
30098,A28,1.718E-9,-1600.,1636.,2289.,0.0,0.0,0.0,0.0
30098,A29,18.54E-9,1600.,-1637.,2289.,0.0,0.0,0.0,0.0
30098,A30,17.81E-9,-1638.,121.2,1642.,0.0,0.0,0.0,0.0
30098,A31,-8.183E-9,1638.,-121.2,1642.,0.0,0.0,0.0,0.0
30098,A32,12.34E-9,-1095.,80.99,1098.,0.0,0.0,0.0,0.0
30098,A33,36.67E-9,1095.,-80.99,1098.,0.0,0.0,0.0,0.0
30098,A34,-82.20E-9,-184.4E-9,-1085.,1085.,0.0,0.0,0.0,0.0
30098,A35,13.31E-9,-123.4E-9,-726.3,726.3,0.0,0.0,0.0,0.0
30098,A36,-232.4,11.30,-13.93,233.1,0.0,0.0,0.0,0.0
30098,A37,-148.6,7.227,-8.909,149.0,0.0,0.0,0.0,0.0
30098,A38,461.3E-12,-116.2,84.59,143.7,0.0,0.0,0.0,0.0
30098,A39,1.216E-9,-74.29,54.09,91.89,0.0,0.0,0.0,0.0
30098,A40,-158.4E-9,-3.490E-6,0.01387,0.01387,0.0,0.0,0.0,0.0
30098,A41,82.12E-9,3.743E-6,-0.01521,0.01521,0.0,0.0,0.0,0.0
30098,A42,-88.01E-9,-1.000E-6,-0.06669,0.06669,0.0,0.0,0.0,0.0
30098,A43,10.75E-9,403.0E-9,0.02668,0.02668,0.0,0.0,0.0,0.0
30098,A44,-3.439E-9,-16.43E-9,0.02350,0.02350,0.0,0.0,0.0,0.0
30098,A45,-49.70E-9,-2.293E-6,0.003946,0.003946,0.0,0.0,0.0,0.0
30098,A46,-2.937E-9,2.611E-9,441.4E-6,441.4E-6,0.0,0.0,0.0,0.0
30098,A47,16.36E-9,7.541E-6,-3.459,3.459,0.0,0.0,0.0,0.0
30098,A48,-2.748E-9,-5.897E-6,-0.008964,0.008964,0.0,0.0,0.0,0.0
30098,A49,-19.59E-9,56.43E-9,0.04344,0.04344,0.0,0.0,0.0,0.0
30098,A50,-11.72E-9,2.303E-6,0.01053,0.01053,0.0,0.0,0.0,0.0
30098,A100,6.772E-9,-452.1E-9,2356.,2356.,0.0,0.0,0.0,0.0
30098,A101,-1.199E-9,268.0E-9,1096.,1096.,0.0,0.0,0.0,0.0
30098,A102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30098,A103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30098,A104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30098,A105,-60.71E-9,0.02998,-705.6,705.6,0.0,0.0,0.0,0.0
30098,A106,-15.23E-9,202.2E-9,-41.51,41.51,0.0,0.0,0.0,0.0
30098,A107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30098,A108,239.1E-9,224.6E-9,-2647.,2647.,0.0,0.0,0.0,0.0
30098,A109,52.75E-9,-0.01309,3304.,3304.,0.0,0.0,0.0,0.0
30098,A110,-8.435E-9,3.310E-9,48.32,48.32,0.0,0.0,0.0,0.0
30098,A111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30098,A112,132.0E-9,-319.2E-9,3296.,3296.,0.0,0.0,0.0,0.0
30098,A113,-34.06E-9,252.1E-9,-3454.,3454.,0.0,0.0,0.0,0.0
30098,A114,106.2E-12,223.8E-9,14.88,14.88,0.0,0.0,0.0,0.0
30098,A115,-18.61E-9,25.19E-9,7109.,7109.,0.0,0.0,0.0,0.0
30098,A116,-266.5E-12,3.602E-9,13.97,13.97,0.0,0.0,0.0,0.0
30098,A117,-76.86E-9,2.084E-6,10100.,10100.,0.0,0.0,0.0,0.0
30098,A118,-1.566E-9,17.56E-9,-265.7E-6,265.7E-6,0.0,0.0,0.0,0.0
30098,A119,4.625E-9,-7.795E-9,150.3E-6,150.3E-6,0.0,0.0,0.0,0.0
30098,A120,-3.015E-9,2.192E-9,-65.87E-6,65.87E-6,0.0,0.0,0.0,0.0
30098,A121,2.504E-9,-1.419E-9,100.3E-6,100.3E-6,0.0,0.0,0.0,0.0
30098,A122,-2.366E-9,1.168E-9,-42.49E-6,42.49E-6,0.0,0.0,0.0,0.0
